,fname,ACC,MDR,FAR,MAE,RMSE
662,1696.wav,0.837837815284729,0.1621621549129486,0.13513512909412384,2.637075185775757,3.222372531890869
663,3257.wav,0.925000011920929,0.07500000298023224,0.05000000074505806,3.6739227771759033,4.3136820793151855
664,1406.wav,0.949999988079071,0.05000000074505806,0.0,1.325425386428833,1.5456422567367554
665,3396.wav,0.9512194991111755,0.04878048598766327,0.024390242993831635,1.5889885425567627,2.0774734020233154
666,3700.wav,0.8636363744735718,0.13636364042758942,0.0,1.9980148077011108,2.894937038421631
667,154.wav,0.7749999761581421,0.22499999403953552,0.07500000298023224,1.621284008026123,2.358555555343628
668,2239.wav,0.9473684430122375,0.05263157933950424,0.0,2.249448299407959,3.065051794052124
669,2203.wav,0.8863636255264282,0.11363636702299118,0.0,2.728516101837158,3.7431647777557373
670,2033.wav,1.0,0.0,0.0,0.5487855076789856,0.6913191080093384
671,3657.wav,0.7954545617103577,0.20454545319080353,0.11363636702299118,2.903602123260498,3.967097043991089
672,3507.wav,0.949999988079071,0.05000000074505806,0.0,1.3623138666152954,1.9038746356964111
673,2347.wav,0.8888888955116272,0.1111111119389534,0.02222222276031971,2.4247682094573975,3.3044545650482178
674,1913.wav,0.9545454382896423,0.04545454680919647,0.0,0.7110855579376221,0.8547712564468384
675,937.wav,0.8604651093482971,0.13953489065170288,0.06976744532585144,2.6146035194396973,3.5585291385650635
676,1535.wav,1.0,0.0,0.0,0.4083206057548523,0.559794008731842
677,3634.wav,0.9545454382896423,0.04545454680919647,0.0,0.9203892946243286,1.1793140172958374
678,1770.wav,0.6410256624221802,0.3589743673801422,0.0,2.282484769821167,3.1431214809417725
679,599.wav,0.9722222089767456,0.02777777798473835,0.0,1.9006849527359009,2.414189100265503
680,3204.wav,0.9523809552192688,0.0476190485060215,0.0,1.2244689464569092,1.469043493270874
681,960.wav,0.7894737124443054,0.21052631735801697,0.02631578966975212,1.6985130310058594,2.229300022125244
682,1463.wav,0.8648648858070374,0.13513512909412384,0.1621621549129486,2.166049003601074,3.3809616565704346
683,3434.wav,0.9444444179534912,0.0555555559694767,0.0555555559694767,3.1081275939941406,3.3319735527038574
684,346.wav,1.0,0.0,0.0,2.8366048336029053,3.458653211593628
685,2609.wav,0.8695651888847351,0.1304347813129425,0.0,1.1296347379684448,1.6524027585983276
686,1046.wav,0.8648648858070374,0.13513512909412384,0.0810810774564743,2.3287127017974854,3.0854110717773438
687,2394.wav,0.8947368264198303,0.10526315867900848,0.0,0.814087450504303,0.9092856645584106
688,2403.wav,0.9285714030265808,0.0714285746216774,0.02380952425301075,2.0932400226593018,2.5997517108917236
689,3174.wav,0.949999988079071,0.05000000074505806,0.02500000037252903,1.6265037059783936,2.3423027992248535
690,1387.wav,0.9523809552192688,0.0476190485060215,0.0,1.244170904159546,1.9019601345062256
691,1202.wav,0.9090909361839294,0.09090909361839294,0.0,4.189409255981445,5.056786060333252
692,3903.wav,0.8999999761581421,0.10000000149011612,0.05000000074505806,2.6097469329833984,3.479348659515381
693,2465.wav,0.949999988079071,0.05000000074505806,0.0,0.6347804069519043,0.7995238304138184
694,3981.wav,0.8571428656578064,0.1428571492433548,0.0,0.7577823996543884,0.9909024834632874
695,1220.wav,1.0,0.0,0.0,0.7650368809700012,0.9142518639564514
696,2638.wav,1.0,0.0,0.0,1.504199743270874,1.865722417831421
697,2146.wav,0.8461538553237915,0.1538461595773697,0.025641025975346565,2.9801218509674072,3.5684072971343994
698,1604.wav,1.0,0.0,0.0,2.0946590900421143,3.0024828910827637
699,585.wav,0.8636363744735718,0.13636364042758942,0.09090909361839294,3.868889331817627,5.003513813018799
700,2652.wav,0.800000011920929,0.20000000298023224,0.0,2.7281107902526855,3.464635133743286
701,2427.wav,0.8857142925262451,0.11428571492433548,0.08571428805589676,2.879737138748169,3.8171284198760986
702,2651.wav,0.9767441749572754,0.023255813866853714,0.0,2.322157382965088,2.851778984069824
703,715.wav,0.7435897588729858,0.25641027092933655,0.20512820780277252,4.186995506286621,5.4942779541015625
704,2299.wav,0.9523809552192688,0.0476190485060215,0.0,3.811832904815674,4.086764335632324
705,3902.wav,0.949999988079071,0.05000000074505806,0.0,0.985212504863739,1.286152720451355
706,3663.wav,0.949999988079071,0.05000000074505806,0.0,1.3154926300048828,1.6993283033370972
707,340.wav,0.95652174949646,0.043478261679410934,0.0,0.46838808059692383,0.6054679155349731
708,2468.wav,0.6052631735801697,0.3947368562221527,0.07894736528396606,2.770179510116577,3.7784454822540283
709,3705.wav,1.0,0.0,0.0,0.5131078958511353,0.7483301758766174
710,2103.wav,0.9767441749572754,0.023255813866853714,0.0,1.52084219455719,2.06998610496521
711,2948.wav,0.7692307829856873,0.23076923191547394,0.07692307978868484,2.614861011505127,3.4806370735168457
712,1578.wav,0.8500000238418579,0.15000000596046448,0.125,4.136317729949951,5.002233028411865
713,813.wav,1.0,0.0,0.0810810774564743,1.7746343612670898,2.6046926975250244
714,1184.wav,1.0,0.0,0.0,1.589946985244751,1.8811743259429932
715,1164.wav,0.9772727489471436,0.022727273404598236,0.0,1.493224024772644,1.9341719150543213
716,1843.wav,0.8205128312110901,0.1794871836900711,0.07692307978868484,2.695246696472168,3.5969414710998535
717,1898.wav,0.949999988079071,0.05000000074505806,0.0,2.107588291168213,2.6714425086975098
718,1450.wav,1.0,0.0,0.0,1.5116325616836548,1.8595826625823975
719,3708.wav,0.7727272510528564,0.22727273404598236,0.0,1.823149561882019,2.391324520111084
720,2453.wav,1.0,0.0,0.0,1.2925900220870972,2.0406529903411865
721,1123.wav,0.5,0.5,0.5,5.151095390319824,6.268839359283447
722,1559.wav,0.8999999761581421,0.10000000149011612,0.05000000074505806,5.8487467765808105,6.098485946655273
723,3124.wav,0.9473684430122375,0.05263157933950424,0.0,2.4687929153442383,3.1711108684539795
